"ADDR","S","Name","Temp Name","Desc","Init","0x080066c4","0x08004180","0x080067ce","0x080060ac","main_loop","func_xxxx"
"0x20000768",,,,,,,,,,,
"0x20000769","B",,,"set when switching layouts or Fn+U or Fn+B or Esc/A in BLE pressed _Parse_Matrix",0,,,,,,
"0x2000076a","B",,,"set when Fn+Y pressed",0,,,,,,
"0x2000076b","B",,,"set when Fn+T pressed; read @0x08005228",,,,,,,
"0x2000076c","B",,,"set when switching layouts or Fn+B or Esc/A in BLE pressed_Parse_Matrix; read @0x08005228",,,,,,,
"0x2000076d","B",,,"set when Fn+R  pressed",,,,,,,
"0x2000076e","B",,,,,,,,,,
"0x2000076f","B",,,,,,,,,,
"0x20000770","W",,"SYNC_CODE1","Keyboard sync code",,,,0,,,
"0x20000774","W",,"SYNC_CODE2","Keyboard sync code",,,,0,,,
,,,,,,,,,,,
"0x2000077b","B",,"BLE_MSG_AVAILABLE","flag set when usart2 int hit @0x08005524 DMA1C6",0,,,,,,
"0x2000077c","B",,"LED_MSG_AVAILABLE","flag set when usart3 int hit @0x08005572 DMA1C3",0,,,,,,
"0x2000077d","B",,,,0,,,,,,
"0x2000077e","B",,,,,,,,,,
"0x2000077f","B","PWR_SaveMode","FLAG_1",,0,,,,,,
"0x20000780","B","USB_Plugged",,,1,,,,,,
"0x20000781","B","USB_Plugged_EXTI","EXTI_??","set when EXTI15-10 int hit",1,,,,,,
"0x20000782","B",,"VAR_782",,0,,,,,,
"0x20000783","B","LED_MCU_Asleep",,"cleared when 1 is read from GPIOC_ODR pin 15 @0x08004e72",1,,,,,,
"0x20000784","B",,"TIM4_Mode","Can be 0: low freq, 2: high freq or else: default freq (read @0x080068d4)",0,,,,,,
"0x20000785","B",,"FN_ACTIVE","cleared when switching layouts _Parse_Matrix",0,,,,,,
"0x20000786","H",,"EXTI_Counter","Inc when exti9-5/exti0 int hit",,,,,,,
"0x20000788","B",,,"set when in BLE mode and a number is pressed",0,,,,,,
"0x20000789","B",,,"set when in BLE mode and a number is pressed",0,,,,,,
"0x2000078a","B",,"BLE_CMD","set to 3 when in BLE mode and a number is pressed, 0xc when in compatibility mode, 4 when connecting to host",0,,,,,,
"0x2000078b","B",,"BLE_ON","set when in BLE mode and a key other than - is pressed, cleared when - pressed",1,,,,,,
"0x2000078c","W",,,,0,,,,,,
"0x20000790","B",,,,0,,,,,,
"0x20000794","W",,"Struct_1","updated from eeprom 0x080066c4, written back 0x080066e8",,0,,,,,
"0x20000798","B","KEY_LAYOUT_SELECTOR","Struct_1","updated from eeprom 0x080066c4, written back 0x080066e8",1,1,,,,,
"0x20000799","B",,"FN_ROW_2","init to row number-1 of Fn key @init_vars3",,,,,,,
"0x2000079a","B",,"FN_COLUMN_2","init to column number-1 of Fn key @init_vars3",,,,,,,
"0x2000079b","B",,"ANNE_ROW_2","row number of anne key: 4+1 init_vars3",,,,,,,
"0x2000079c","B",,"ANNE_COLUMN_2","column number of anne key: 0xc+1 init_vars3",,,,,,,
,,,,,,,,,,,
"0x200007a0","W","UID_1",,"contains 1st word from device ID read @0x08004cc0",,,,,,,
"0x200007a4","W","UID_2",,"contains 2nd word from device ID read @0x08004cc0",,,,,,,
"0x200007a8","W","UID_3",,"contains 3rd word from device ID read @0x08004cc0",,,,,,,
"0x200007ac","B",,"TIM4_F?","checked in int",0,,,,,,
"0x200007ad","B",,"TIM4_??","set in int if TIM4_F?",,,,,,,
"0x200007ae","B",,,"set to 1 when a macro key is pressed",,,,,,,
"0x200007af","B",,,"set to 1 when a macro key is pressed",,,,,,,
"0x200007b0","B",,,"set to 1 when a macro key is pressed",,,,,,,
"0x200007b1","B",,,"set to macro location 0..9",,,,,,,
"0x200007b2","B","TIM4_Configured",,"true or false; flag_to only run func @0x080068d4 once (Init at 0, set to 1)",,,,,,,
"0x200007b3","B",,,,,,,,,,
"0x200007b4","W",,"TIM4_??","counter inc when int hit and cleared @0x080068d4 and @0x08007e96",0,,,,,,
"0x200007b8","W",,,,0,,,,,,
"0x200007bc","B",,,,,,,,,,
"0x200007bd","B",,"BLE_MSG_PENDING","set @0x0800577a if there are BLE MSG bytes to be transfered",,,,,,,
"0x200007be","B",,,"cleard when a BLE MSG is pending",,,,,,,
"0x200007bf","B",,,,,,,,,,
"0x200007c0","B",,,,,,,,,,
,,,,,,,,,,,
"0x200007c4","W","TIM4_IntCounter",,"reset when limit hit, limit is -0x80000000",,,,,,,
"0x200007c8","B",,,,,,,,,,
"0x200007c9","B",,,"Updated @0x08006912 ",,,,,,,
"0x200007ca","B",,,"set to 1 @0x08006912",0,,,,,,
"0x200007cb","B",,"DMA_BLE_TxTC","set when DMA1_IT_TC7 int hit;",1,,,,,,
"0x200007cc","B",,,,,,,,,,
"0x200007cd","B",,"BLE_COMP_MODE",,,,,,,,
"0x200007ce","B",,,"cleared when switching layouts _Parse_Matrix",0,,,,,,
"0x200007cf","B",,,"set to 1 when RTYU pressed",0,,,,,,
,,,,,,,,,,,
"0x200007d4","AS",,"DMA_BLE_TxBuffer","BLE Tx packet: 256 bytes (0x100)",,,,,,,
"0x200008d3","AE",,,,,,,,,,
"0x200008d4","AS",,"LED_TxBuffer","LED Tx packet: 256 bytes (0x100)",,,,,,,
"0x200009d3","AE",,,,,,,,,,
"0x200009d4","AS",,"DMA_LED_RxBuffer","LED Rx new packet: 256 bytes (0x100)",,,,,,,
"0x20000ad3","AE",,,,,,,,,,
"0x20000ad4","AS",,"LED_RxBuffer","LED Rx old packet: 256 bytes (0x100); copied here when new pkt arrives",,,,,,,
"0x20000bd3","AE",,,,,,,,,,
"0x20000bd4","AS",,"DMA_BLE_RxBuffer","BLE Rx new packet: 256 bytes (0x100)",,,,,,,
"0x20000cd3","AE",,,,,,,,,,
"0x20000cd4","AS",,"BLE_RxBuffer","BLE Rx old packet: 256 bytes (0x100); copied here when new pkt arrives",,,,,,,
"0x20000dd3","AE",,,,,,,,,,
"0x20000dd4","AS",,"MSG_Buffer","LED or BLE Rx packets are copied here for parsing",,,,,,,
"0x20000ed3","AE",,,,,,,,,,
,,,,,,,,,,,
"0x20000edc","AS",,,"Macro related",,,,,,,
"0x20000f6f","AE",,,,,,,,,,
"0x20000f70","AS",,,"Macro related",,,,,,,
"0x20001003","AE",,,,,,,,,,
"0x20001004","AS",,,"Macro related",,,,,,,
"0x20001097","AE",,,,,,,,,,
"0x20001098","AS",,,"Macro related",,,,,,,
"0x2000112b","AE",,,,,,,,,,
"0x2000112c","AS",,,"Macro related",,,,,,,
"0x200011bf","AE",,,,,,,,,,
"0x200011c0","AS",,,"Macro related",,,,,,,
"0x20001253","AE",,,,,,,,,,
"0x20001254","AS",,,"Macro related",,,,,,,
"0x200012e7","AE",,,,,,,,,,
"0x200012e8","AS",,,"Macro related",,,,,,,
"0x2000137b","AE",,,,,,,,,,
"0x2000137c","AS",,,"Macro related",,,,,,,
"0x2000140f","AE",,,,,,,,,,
"0x20001410","AS",,,"Macro related",,,,,,,
"0x200014a3","AE",,,,,,,,,,
"0x200014a4","H",,"BLE_TxBufferNewTop","points to the new BLE_TxBufferTop in BLE_TxBuffer after a msg has been sent",,,,,,,
"0x200014a6","H",,"BLE_TxBufferTop","points to the last transferred byte+1 in BLE_TxBuffer",,,,,,,
"0x200014a8","AS",,"BLE_TxBuffer","BLE Tx buffer 512 bytes (0x200)",,,,,,,
"0x200016a7","AE",,,,,,,,,,
"0x200016a8","AS",,"DMA_LED_TxBuffer","LED Tx packet: 256 bytes (0x100)",,,,,,,
"0x200017a7","AE",,,,,,,,,,
"0x200017a8","AS",,"KeyCounter_1","updated in _ScanMatrix; a key is cleared when not detected twice",,,,,,,
"0x200017ed","AE",,,,,,,,,,
"0x200017ee","AS",,"KeyCounter_2","updated in _ScanMatrix; a key is cleared when detected twice",,,,,,,
"0x20001833","AE",,,,,,,,,,
